Person1_Age,Person2_Age,Person1_Gender,Person2_Gender,Same_Last_Name,Marital_Status,Living_Together_Duration,Household_Role_P1,Household_Role_P2,Relationship_Label
49,40,Male,Male,Yes,Single,1.0,Brother,Brother,Brother-Brother
81,7,Female,Male,Yes,Married,24.2,Grandmother,Grandson,Grandmother-Grandson
43,65,Female,Male,No,Single,23.8,Roommate,Roommate,Unrelated
30,34,Male,Female,Yes,Married,20.4,Husband,Wife,Husband-Wife
56,52,Female,Female,Yes,Single,26.4,Sister,Sister,Sister-Sister
41,41,Male,Female,Yes,Married,6.7,Husband,Wife,Husband-Wife
51,8,Male,Female,Yes,Married,13.1,Father,Daughter,Father-Daughter
70,82,Male,Female,Yes,Married,22.1,Husband,Wife,Husband-Wife
83,16,Male,Male,Yes,Married,27.2,Grandfather,Grandson,Grandfather-Grandson
11,13,Male,Female,Yes,Single,7.3,Brother,Sister,Brother-Sister
25,26,Male,Female,Yes,Single,29.4,Brother,Sister,Brother-Sister
54,55,Female,Female,Yes,Single,21.3,Sister,Sister,Sister-Sister
76,22,Male,Female,Yes,Married,13.1,Grandfather,Granddaughter,Grandfather-Granddaughter
69,10,Male,Female,Yes,Widowed,20.1,Grandfather,Granddaughter,Grandfather-Granddaughter
64,52,Male,Female,Yes,Married,29.5,Husband,Wife,Husband-Wife
74,22,Female,Male,Yes,Single,11.9,Grandmother,Grandson,Grandmother-Grandson
34,13,Male,Male,Yes,Single,24.6,Father,Son,Father-Son
48,38,Male,Female,Yes,Single,16.9,Brother,Sister,Brother-Sister
42,43,Female,Female,Yes,Single,18.1,Sister,Sister,Sister-Sister
57,19,Male,Male,Yes,Single,7.3,Grandfather,Grandson,Grandfather-Grandson
22,31,Male,Female,Yes,Single,2.8,Brother,Sister,Brother-Sister
28,6,Male,Female,Yes,Married,29.1,Father,Daughter,Father-Daughter
34,35,Female,Male,Yes,Single,1.5,Roommate,Roommate,Unrelated
82,20,Male,Female,Yes,Single,10.6,Grandfather,Granddaughter,Grandfather-Granddaughter
60,19,Female,Male,Yes,Single,7.0,Grandmother,Grandson,Grandmother-Grandson
80,6,Male,Male,Yes,Divorced,2.1,Grandfather,Grandson,Grandfather-Grandson
45,1,Male,Male,Yes,Widowed,26.8,Father,Son,Father-Son
45,22,Female,Male,Yes,Divorced,28.1,Mother,Son,Mother-Son
64,26,Female,Male,No,Single,3.5,Roommate,Roommate,Unrelated
54,24,Female,Female,Yes,Widowed,9.0,Mother,Daughter,Mother-Daughter
27,7,Female,Male,Yes,Married,18.5,Mother,Son,Mother-Son
84,24,Female,Male,Yes,Married,16.3,Grandmother,Grandson,Grandmother-Grandson
74,4,Female,Female,Yes,Divorced,2.3,Grandmother,Granddaughter,Grandmother-Granddaughter
55,2,Male,Female,Yes,Widowed,9.5,Grandfather,Granddaughter,Grandfather-Granddaughter
28,6,Male,Female,Yes,Divorced,8.6,Father,Daughter,Father-Daughter
81,39,Male,Male,Yes,Widowed,1.6,Grandfather,Grandson,Grandfather-Grandson
76,39,Female,Female,Yes,Divorced,26.9,Grandmother,Granddaughter,Grandmother-Granddaughter
54,18,Male,Male,Yes,Married,11.2,Grandfather,Grandson,Grandfather-Grandson
20,18,Male,Female,Yes,Married,22.8,Husband,Wife,Husband-Wife
29,10,Female,Female,Yes,Divorced,2.3,Mother,Daughter,Mother-Daughter
51,43,Male,Female,Yes,Married,17.5,Husband,Wife,Husband-Wife
60,55,Female,Male,No,Single,9.2,Roommate,Roommate,Unrelated
69,31,Female,Female,Yes,Married,4.7,Grandmother,Granddaughter,Grandmother-Granddaughter
57,7,Female,Female,Yes,Widowed,20.5,Mother,Daughter,Mother-Daughter
34,40,Female,Female,Yes,Single,13.6,Sister,Sister,Sister-Sister
63,28,Male,Male,Yes,Widowed,11.9,Father,Son,Father-Son
41,5,Female,Male,Yes,Single,18.9,Mother,Son,Mother-Son
48,64,Female,Male,No,Single,15.1,Roommate,Roommate,Unrelated
45,53,Female,Female,Yes,Single,11.6,Sister,Sister,Sister-Sister
57,3,Male,Female,Yes,Divorced,7.8,Father,Daughter,Father-Daughter
26,6,Female,Male,Yes,Single,4.7,Mother,Son,Mother-Son
20,19,Male,Female,Yes,Married,17.6,Husband,Wife,Husband-Wife
5,6,Male,Male,Yes,Single,8.7,Brother,Brother,Brother-Brother
42,6,Female,Male,Yes,Divorced,18.4,Mother,Son,Mother-Son
52,16,Male,Male,Yes,Single,19.3,Father,Son,Father-Son
30,35,Female,Female,No,Single,29.0,Roommate,Roommate,Unrelated
53,7,Female,Female,Yes,Married,28.9,Grandmother,Granddaughter,Grandmother-Granddaughter
31,12,Male,Male,Yes,Single,24.9,Father,Son,Father-Son
67,32,Female,Female,Yes,Widowed,10.1,Grandmother,Granddaughter,Grandmother-Granddaughter
63,73,Male,Female,Yes,Married,29.3,Husband,Wife,Husband-Wife
79,25,Male,Male,Yes,Single,18.2,Grandfather,Grandson,Grandfather-Grandson
57,0,Male,Male,Yes,Single,10.4,Grandfather,Grandson,Grandfather-Grandson
63,25,Female,Female,Yes,Widowed,13.6,Mother,Daughter,Mother-Daughter
50,2,Female,Female,Yes,Widowed,27.7,Grandmother,Granddaughter,Grandmother-Granddaughter
25,2,Female,Male,Yes,Married,21.9,Mother,Son,Mother-Son
58,4,Male,Female,Yes,Married,25.4,Father,Daughter,Father-Daughter
64,29,Male,Female,No,Single,7.2,Roommate,Roommate,Unrelated
59,8,Male,Female,Yes,Married,15.5,Father,Daughter,Father-Daughter
32,7,Female,Female,Yes,Divorced,11.9,Mother,Daughter,Mother-Daughter
65,0,Female,Female,Yes,Single,3.3,Grandmother,Granddaughter,Grandmother-Granddaughter
87,52,Female,Female,Yes,Widowed,9.0,Grandmother,Granddaughter,Grandmother-Granddaughter
43,11,Male,Female,Yes,Single,4.7,Father,Daughter,Father-Daughter
46,45,Male,Male,Yes,Single,29.9,Brother,Brother,Brother-Brother
79,9,Female,Male,Yes,Widowed,7.9,Grandmother,Grandson,Grandmother-Grandson
13,19,Female,Female,Yes,Single,29.2,Sister,Sister,Sister-Sister
76,9,Female,Female,Yes,Single,12.0,Grandmother,Granddaughter,Grandmother-Granddaughter
27,2,Female,Male,Yes,Divorced,26.2,Mother,Son,Mother-Son
55,25,Male,Female,Yes,Widowed,29.5,Father,Daughter,Father-Daughter
68,63,Male,Female,Yes,Married,19.7,Husband,Wife,Husband-Wife
75,10,Female,Female,Yes,Widowed,18.4,Grandmother,Granddaughter,Grandmother-Granddaughter
84,24,Male,Female,Yes,Single,0.5,Grandfather,Granddaughter,Grandfather-Granddaughter
28,32,Female,Female,Yes,Single,16.2,Sister,Sister,Sister-Sister
44,13,Male,Female,Yes,Married,1.3,Father,Daughter,Father-Daughter
82,42,Female,Female,Yes,Widowed,2.0,Grandmother,Granddaughter,Grandmother-Granddaughter
89,48,Female,Female,Yes,Widowed,18.0,Grandmother,Granddaughter,Grandmother-Granddaughter
54,20,Male,Female,No,Single,1.4,Roommate,Roommate,Unrelated
88,41,Male,Female,Yes,Single,8.4,Grandfather,Granddaughter,Grandfather-Granddaughter
33,28,Female,Female,Yes,Single,22.8,Sister,Sister,Sister-Sister
52,32,Male,Male,Yes,Single,29.1,Father,Son,Father-Son
69,0,Female,Male,Yes,Widowed,10.3,Grandmother,Grandson,Grandmother-Grandson
84,0,Female,Male,Yes,Single,17.9,Grandmother,Grandson,Grandmother-Grandson
59,68,Male,Female,Yes,Married,28.6,Husband,Wife,Husband-Wife
90,40,Male,Female,Yes,Widowed,0.5,Grandfather,Granddaughter,Grandfather-Granddaughter
48,29,Male,Male,Yes,Widowed,9.8,Father,Son,Father-Son
57,7,Male,Female,Yes,Married,1.9,Father,Daughter,Father-Daughter
86,12,Female,Male,Yes,Widowed,18.4,Grandmother,Grandson,Grandmother-Grandson
51,42,Male,Female,Yes,Married,9.8,Husband,Wife,Husband-Wife
34,36,Male,Female,Yes,Married,17.2,Husband,Wife,Husband-Wife
57,16,Male,Female,Yes,Single,13.5,Grandfather,Granddaughter,Grandfather-Granddaughter
42,54,Female,Male,No,Single,26.3,Roommate,Roommate,Unrelated
46,47,Female,Female,No,Single,24.8,Roommate,Roommate,Unrelated
72,0,Female,Male,Yes,Divorced,24.9,Grandmother,Grandson,Grandmother-Grandson
32,36,Male,Female,Yes,Married,16.2,Husband,Wife,Husband-Wife
17,26,Male,Female,Yes,Single,22.2,Brother,Sister,Brother-Sister
24,17,Female,Female,Yes,Single,22.9,Sister,Sister,Sister-Sister
8,5,Male,Female,Yes,Single,9.2,Brother,Sister,Brother-Sister
67,27,Male,Male,No,Single,29.4,Roommate,Roommate,Unrelated
26,26,Male,Female,Yes,Married,28.4,Husband,Wife,Husband-Wife
58,37,Female,Female,Yes,Married,9.0,Mother,Daughter,Mother-Daughter
54,10,Female,Male,Yes,Divorced,4.8,Mother,Son,Mother-Son
67,11,Male,Male,Yes,Married,24.8,Grandfather,Grandson,Grandfather-Grandson
48,11,Female,Male,Yes,Single,10.5,Mother,Son,Mother-Son
22,20,Male,Female,Yes,Single,3.1,Brother,Sister,Brother-Sister
28,23,Male,Female,Yes,Married,1.9,Husband,Wife,Husband-Wife
38,44,Male,Male,Yes,Single,14.3,Brother,Brother,Brother-Brother
10,20,Male,Male,Yes,Single,11.3,Brother,Brother,Brother-Brother
54,58,Male,Male,Yes,Single,2.5,Brother,Brother,Brother-Brother
18,23,Male,Female,Yes,Single,18.1,Brother,Sister,Brother-Sister
37,2,Male,Male,Yes,Married,2.2,Father,Son,Father-Son
70,22,Male,Female,Yes,Single,1.4,Father,Daughter,Father-Daughter
39,4,Male,Female,Yes,Widowed,19.4,Father,Daughter,Father-Daughter
34,37,Male,Female,Yes,Single,27.0,Brother,Sister,Brother-Sister
36,6,Female,Female,Yes,Divorced,3.8,Mother,Daughter,Mother-Daughter
65,67,Male,Female,Yes,Married,18.7,Husband,Wife,Husband-Wife
34,1,Female,Male,Yes,Married,23.4,Mother,Son,Mother-Son
88,51,Female,Male,Yes,Divorced,17.2,Grandmother,Grandson,Grandmother-Grandson
84,18,Male,Female,Yes,Married,5.9,Grandfather,Granddaughter,Grandfather-Granddaughter
55,46,Female,Female,Yes,Single,22.9,Sister,Sister,Sister-Sister
27,7,Female,Female,Yes,Widowed,28.9,Mother,Daughter,Mother-Daughter
61,40,Female,Male,Yes,Single,18.5,Mother,Son,Mother-Son
12,8,Male,Male,Yes,Single,6.1,Brother,Brother,Brother-Brother
54,48,Female,Female,No,Single,12.2,Roommate,Roommate,Unrelated
37,28,Female,Female,Yes,Single,15.5,Sister,Sister,Sister-Sister
83,32,Male,Male,Yes,Married,6.3,Grandfather,Grandson,Grandfather-Grandson
44,9,Female,Female,Yes,Single,28.3,Mother,Daughter,Mother-Daughter
49,28,Female,Female,Yes,Divorced,28.9,Mother,Daughter,Mother-Daughter
18,26,Female,Female,Yes,Single,10.4,Sister,Sister,Sister-Sister
65,44,Female,Female,Yes,Single,19.6,Mother,Daughter,Mother-Daughter
47,45,Female,Female,Yes,Single,6.3,Sister,Sister,Sister-Sister
50,24,Male,Female,Yes,Widowed,13.2,Father,Daughter,Father-Daughter
44,51,Male,Female,Yes,Single,20.3,Brother,Sister,Brother-Sister
11,15,Female,Female,Yes,Single,4.6,Sister,Sister,Sister-Sister
41,46,Male,Male,Yes,Single,14.7,Brother,Brother,Brother-Brother
35,12,Male,Female,Yes,Married,9.9,Father,Daughter,Father-Daughter
49,49,Male,Male,Yes,Single,0.7,Brother,Brother,Brother-Brother
63,36,Male,Male,No,Single,22.9,Roommate,Roommate,Unrelated
68,48,Male,Male,Yes,Married,21.0,Father,Son,Father-Son
57,18,Male,Female,Yes,Married,4.3,Grandfather,Granddaughter,Grandfather-Granddaughter
82,0,Female,Female,Yes,Divorced,18.3,Grandmother,Granddaughter,Grandmother-Granddaughter
64,28,Female,Male,Yes,Married,12.7,Grandmother,Grandson,Grandmother-Grandson
75,17,Male,Female,Yes,Divorced,26.9,Grandfather,Granddaughter,Grandfather-Granddaughter
44,18,Female,Male,Yes,Divorced,11.7,Mother,Son,Mother-Son
60,3,Female,Male,Yes,Divorced,7.1,Grandmother,Grandson,Grandmother-Grandson
67,38,Male,Male,Yes,Single,24.5,Father,Son,Father-Son
25,28,Male,Female,Yes,Single,24.5,Brother,Sister,Brother-Sister
66,27,Female,Female,Yes,Single,2.6,Grandmother,Granddaughter,Grandmother-Granddaughter
55,8,Male,Female,Yes,Divorced,13.1,Father,Daughter,Father-Daughter
65,56,Male,Female,Yes,Married,10.1,Husband,Wife,Husband-Wife
18,44,Female,Female,No,Single,1.2,Roommate,Roommate,Unrelated
41,10,Female,Male,Yes,Widowed,18.2,Mother,Son,Mother-Son
62,59,Male,Female,Yes,Single,15.4,Roommate,Roommate,Unrelated
39,6,Male,Male,Yes,Widowed,3.3,Father,Son,Father-Son
86,34,Female,Male,Yes,Single,8.5,Grandmother,Grandson,Grandmother-Grandson
6,16,Male,Male,Yes,Single,17.3,Brother,Brother,Brother-Brother
44,16,Female,Male,Yes,Divorced,13.8,Mother,Son,Mother-Son
88,2,Male,Male,Yes,Widowed,20.3,Grandfather,Grandson,Grandfather-Grandson
41,47,Male,Female,Yes,Single,13.5,Brother,Sister,Brother-Sister
24,26,Female,Female,Yes,Single,2.6,Sister,Sister,Sister-Sister
60,65,Male,Female,Yes,Single,8.9,Brother,Sister,Brother-Sister
29,39,Male,Female,Yes,Married,14.0,Husband,Wife,Husband-Wife
34,9,Female,Male,Yes,Widowed,5.2,Mother,Son,Mother-Son
46,18,Male,Female,Yes,Divorced,4.5,Father,Daughter,Father-Daughter
79,23,Female,Female,Yes,Married,27.9,Grandmother,Granddaughter,Grandmother-Granddaughter
46,41,Male,Male,Yes,Single,14.2,Brother,Brother,Brother-Brother
48,1,Male,Female,Yes,Married,23.5,Father,Daughter,Father-Daughter
42,0,Male,Male,Yes,Divorced,25.6,Father,Son,Father-Son
39,19,Male,Male,Yes,Married,7.4,Father,Son,Father-Son
35,36,Male,Female,Yes,Married,1.7,Husband,Wife,Husband-Wife
26,21,Male,Male,Yes,Single,13.3,Brother,Brother,Brother-Brother
36,0,Female,Female,Yes,Widowed,23.5,Mother,Daughter,Mother-Daughter
56,29,Female,Female,No,Single,28.7,Roommate,Roommate,Unrelated
17,9,Female,Female,Yes,Single,23.0,Sister,Sister,Sister-Sister
58,18,Female,Female,Yes,Single,14.0,Grandmother,Granddaughter,Grandmother-Granddaughter
89,30,Male,Male,Yes,Divorced,2.6,Grandfather,Grandson,Grandfather-Grandson
86,8,Female,Male,Yes,Married,16.1,Grandmother,Grandson,Grandmother-Grandson
62,1,Female,Female,Yes,Married,6.8,Grandmother,Granddaughter,Grandmother-Granddaughter
17,10,Male,Female,Yes,Single,13.5,Brother,Sister,Brother-Sister
35,44,Female,Female,Yes,Single,4.6,Sister,Sister,Sister-Sister
11,2,Female,Female,Yes,Single,5.5,Sister,Sister,Sister-Sister
58,56,Male,Female,Yes,Married,15.4,Husband,Wife,Husband-Wife
47,36,Male,Female,Yes,Married,20.4,Husband,Wife,Husband-Wife
61,71,Male,Female,Yes,Married,18.1,Husband,Wife,Husband-Wife
68,1,Male,Male,Yes,Divorced,7.7,Father,Son,Father-Son
26,4,Female,Female,Yes,Married,0.9,Mother,Daughter,Mother-Daughter
52,47,Male,Female,Yes,Single,16.9,Brother,Sister,Brother-Sister
63,32,Male,Female,Yes,Widowed,3.6,Father,Daughter,Father-Daughter
61,3,Female,Female,Yes,Married,9.1,Mother,Daughter,Mother-Daughter
36,13,Male,Male,Yes,Widowed,3.9,Father,Son,Father-Son
50,7,Female,Male,Yes,Single,22.6,Grandmother,Grandson,Grandmother-Grandson
32,22,Male,Male,Yes,Single,18.4,Brother,Brother,Brother-Brother
50,13,Male,Male,Yes,Married,1.3,Grandfather,Grandson,Grandfather-Grandson
31,52,Male,Male,No,Single,4.6,Roommate,Roommate,Unrelated
43,45,Male,Male,Yes,Single,18.4,Brother,Brother,Brother-Brother
8,10,Male,Female,Yes,Single,0.6,Brother,Sister,Brother-Sister
73,10,Male,Female,Yes,Widowed,10.1,Grandfather,Granddaughter,Grandfather-Granddaughter
87,23,Female,Male,Yes,Married,21.3,Grandmother,Grandson,Grandmother-Grandson
51,24,Female,Male,Yes,Widowed,21.5,Mother,Son,Mother-Son
72,11,Male,Male,Yes,Single,11.1,Grandfather,Grandson,Grandfather-Grandson
35,10,Female,Male,Yes,Widowed,7.5,Mother,Son,Mother-Son
34,11,Male,Male,Yes,Married,28.4,Father,Son,Father-Son
26,40,Male,Male,No,Single,8.3,Roommate,Roommate,Unrelated
54,51,Male,Female,Yes,Single,20.2,Brother,Sister,Brother-Sister
42,52,Male,Male,Yes,Single,6.7,Brother,Brother,Brother-Brother
75,24,Female,Female,Yes,Single,18.1,Grandmother,Granddaughter,Grandmother-Granddaughter
66,54,Male,Female,Yes,Married,26.1,Husband,Wife,Husband-Wife
61,36,Female,Male,Yes,Married,13.3,Mother,Son,Mother-Son
41,21,Female,Female,Yes,Married,6.7,Mother,Daughter,Mother-Daughter
45,21,Male,Male,Yes,Married,2.7,Father,Son,Father-Son
64,36,Male,Female,Yes,Divorced,0.7,Father,Daughter,Father-Daughter
37,11,Male,Male,Yes,Married,16.6,Father,Son,Father-Son
48,4,Male,Female,Yes,Divorced,24.1,Father,Daughter,Father-Daughter
46,47,Male,Female,Yes,Single,6.4,Brother,Sister,Brother-Sister
48,0,Male,Female,Yes,Widowed,7.3,Father,Daughter,Father-Daughter
52,19,Female,Female,Yes,Widowed,11.4,Mother,Daughter,Mother-Daughter
79,32,Male,Female,Yes,Single,11.2,Grandfather,Granddaughter,Grandfather-Granddaughter
60,2,Female,Female,Yes,Divorced,5.0,Mother,Daughter,Mother-Daughter
20,18,Male,Female,Yes,Married,29.3,Husband,Wife,Husband-Wife
36,5,Male,Female,Yes,Divorced,12.5,Father,Daughter,Father-Daughter
87,29,Female,Male,Yes,Widowed,1.7,Grandmother,Grandson,Grandmother-Grandson
11,10,Female,Female,Yes,Single,10.6,Sister,Sister,Sister-Sister
49,18,Female,Female,Yes,Single,16.5,Mother,Daughter,Mother-Daughter
53,48,Female,Female,Yes,Single,28.3,Sister,Sister,Sister-Sister
33,8,Male,Male,Yes,Married,23.9,Father,Son,Father-Son
58,12,Male,Female,Yes,Single,7.8,Father,Daughter,Father-Daughter
63,0,Male,Male,Yes,Divorced,15.1,Father,Son,Father-Son
32,14,Male,Female,Yes,Single,21.8,Father,Daughter,Father-Daughter
82,16,Female,Female,Yes,Married,25.7,Grandmother,Granddaughter,Grandmother-Granddaughter
52,42,Female,Female,Yes,Single,8.9,Sister,Sister,Sister-Sister
59,11,Female,Male,Yes,Married,18.6,Mother,Son,Mother-Son
63,21,Female,Female,Yes,Divorced,5.4,Mother,Daughter,Mother-Daughter
36,2,Male,Male,Yes,Married,8.1,Father,Son,Father-Son
35,34,Male,Female,Yes,Single,16.9,Brother,Sister,Brother-Sister
48,42,Male,Female,Yes,Married,28.8,Husband,Wife,Husband-Wife
81,30,Male,Male,Yes,Single,22.0,Grandfather,Grandson,Grandfather-Grandson
42,51,Male,Female,Yes,Single,12.1,Brother,Sister,Brother-Sister
60,5,Male,Female,Yes,Divorced,11.5,Father,Daughter,Father-Daughter
69,31,Male,Female,Yes,Widowed,25.3,Grandfather,Granddaughter,Grandfather-Granddaughter
55,2,Male,Male,Yes,Divorced,1.1,Grandfather,Grandson,Grandfather-Grandson
35,7,Male,Male,Yes,Widowed,8.5,Father,Son,Father-Son
69,75,Male,Female,Yes,Married,6.7,Husband,Wife,Husband-Wife
73,1,Male,Female,Yes,Divorced,15.8,Grandfather,Granddaughter,Grandfather-Granddaughter
56,21,Male,Male,No,Single,13.1,Roommate,Roommate,Unrelated
70,13,Male,Male,Yes,Single,15.4,Father,Son,Father-Son
61,29,Male,Male,Yes,Single,0.9,Father,Son,Father-Son
38,4,Female,Male,Yes,Single,16.4,Mother,Son,Mother-Son
56,1,Male,Male,Yes,Divorced,12.8,Grandfather,Grandson,Grandfather-Grandson
33,7,Male,Male,Yes,Divorced,3.2,Father,Son,Father-Son
80,5,Female,Female,Yes,Widowed,7.3,Grandmother,Granddaughter,Grandmother-Granddaughter
51,23,Female,Female,Yes,Widowed,9.3,Mother,Daughter,Mother-Daughter
56,33,Male,Female,No,Single,21.8,Roommate,Roommate,Unrelated
41,38,Female,Female,Yes,Single,2.4,Sister,Sister,Sister-Sister
30,19,Male,Female,Yes,Married,8.4,Husband,Wife,Husband-Wife
86,44,Male,Female,Yes,Divorced,18.6,Grandfather,Granddaughter,Grandfather-Granddaughter
52,0,Male,Female,Yes,Widowed,29.3,Father,Daughter,Father-Daughter
74,38,Male,Female,Yes,Married,28.4,Grandfather,Granddaughter,Grandfather-Granddaughter
38,18,Female,Male,Yes,Divorced,13.7,Mother,Son,Mother-Son
18,27,Male,Male,Yes,Single,16.8,Brother,Brother,Brother-Brother
43,1,Male,Male,Yes,Divorced,10.4,Father,Son,Father-Son
78,37,Male,Male,Yes,Single,7.9,Grandfather,Grandson,Grandfather-Grandson
48,30,Male,Male,Yes,Widowed,10.0,Father,Son,Father-Son
40,37,Male,Female,Yes,Single,28.2,Brother,Sister,Brother-Sister
63,7,Female,Female,Yes,Single,17.9,Grandmother,Granddaughter,Grandmother-Granddaughter
50,42,Male,Male,No,Single,20.4,Roommate,Roommate,Unrelated
59,21,Female,Female,No,Single,22.3,Roommate,Roommate,Unrelated
49,64,Female,Male,No,Single,8.9,Roommate,Roommate,Unrelated
18,51,Female,Male,No,Single,18.8,Roommate,Roommate,Unrelated
66,2,Female,Female,Yes,Divorced,10.5,Grandmother,Granddaughter,Grandmother-Granddaughter
51,27,Female,Male,Yes,Divorced,24.4,Mother,Son,Mother-Son
77,39,Male,Female,Yes,Married,4.6,Grandfather,Granddaughter,Grandfather-Granddaughter
59,65,Male,Female,Yes,Married,1.4,Husband,Wife,Husband-Wife
36,26,Male,Female,Yes,Single,16.4,Brother,Sister,Brother-Sister
28,19,Male,Female,Yes,Single,22.2,Brother,Sister,Brother-Sister
60,11,Male,Male,Yes,Single,23.8,Grandfather,Grandson,Grandfather-Grandson
71,21,Male,Female,Yes,Single,11.1,Grandfather,Granddaughter,Grandfather-Granddaughter
64,24,Male,Female,Yes,Single,21.8,Grandfather,Granddaughter,Grandfather-Granddaughter
18,11,Male,Male,Yes,Single,6.1,Brother,Brother,Brother-Brother
58,54,Male,Female,Yes,Married,29.0,Husband,Wife,Husband-Wife
43,34,Female,Female,Yes,Single,18.1,Sister,Sister,Sister-Sister
28,10,Female,Male,Yes,Single,2.4,Mother,Son,Mother-Son
46,4,Male,Female,Yes,Widowed,12.9,Father,Daughter,Father-Daughter
67,29,Female,Male,Yes,Single,17.7,Grandmother,Grandson,Grandmother-Grandson
29,32,Male,Male,Yes,Single,24.2,Brother,Brother,Brother-Brother
53,26,Male,Male,Yes,Widowed,18.7,Father,Son,Father-Son
32,27,Male,Male,Yes,Single,25.4,Brother,Brother,Brother-Brother
26,31,Male,Male,Yes,Single,6.7,Brother,Brother,Brother-Brother
9,10,Female,Female,Yes,Single,5.8,Sister,Sister,Sister-Sister
48,4,Female,Female,Yes,Single,22.1,Mother,Daughter,Mother-Daughter
42,34,Male,Female,Yes,Married,19.1,Husband,Wife,Husband-Wife
48,5,Male,Female,Yes,Divorced,18.8,Father,Daughter,Father-Daughter
77,28,Male,Female,Yes,Single,26.5,Grandfather,Granddaughter,Grandfather-Granddaughter
39,61,Male,Male,No,Single,20.2,Roommate,Roommate,Unrelated
40,19,Female,Female,Yes,Married,12.1,Mother,Daughter,Mother-Daughter
67,27,Male,Female,Yes,Widowed,19.8,Grandfather,Granddaughter,Grandfather-Granddaughter
24,18,Male,Female,Yes,Married,18.3,Husband,Wife,Husband-Wife
59,51,Female,Female,Yes,Single,2.0,Sister,Sister,Sister-Sister
47,24,Female,Female,Yes,Divorced,14.8,Mother,Daughter,Mother-Daughter
56,14,Female,Female,Yes,Married,29.4,Grandmother,Granddaughter,Grandmother-Granddaughter
48,13,Male,Male,Yes,Single,3.5,Father,Son,Father-Son
61,1,Male,Female,Yes,Divorced,18.2,Grandfather,Granddaughter,Grandfather-Granddaughter
60,10,Male,Female,Yes,Widowed,26.0,Grandfather,Granddaughter,Grandfather-Granddaughter
82,12,Female,Female,Yes,Single,10.1,Grandmother,Granddaughter,Grandmother-Granddaughter
32,8,Male,Male,Yes,Single,27.3,Father,Son,Father-Son
6,15,Male,Male,Yes,Single,26.8,Brother,Brother,Brother-Brother
30,6,Female,Male,Yes,Divorced,16.8,Mother,Son,Mother-Son
56,21,Male,Female,Yes,Widowed,8.5,Father,Daughter,Father-Daughter
58,32,Male,Female,No,Single,23.5,Roommate,Roommate,Unrelated
67,27,Male,Female,Yes,Married,7.2,Father,Daughter,Father-Daughter
30,31,Female,Female,Yes,Single,21.7,Sister,Sister,Sister-Sister
29,34,Male,Male,Yes,Single,2.7,Brother,Brother,Brother-Brother
65,36,Male,Female,Yes,Widowed,13.6,Father,Daughter,Father-Daughter
38,9,Male,Male,Yes,Single,21.5,Father,Son,Father-Son
53,45,Male,Female,Yes,Married,10.3,Husband,Wife,Husband-Wife
60,17,Female,Female,Yes,Married,5.8,Grandmother,Granddaughter,Grandmother-Granddaughter
35,31,Female,Female,Yes,Single,28.5,Sister,Sister,Sister-Sister
23,32,Male,Male,Yes,Single,24.7,Brother,Brother,Brother-Brother
68,18,Male,Female,Yes,Divorced,28.0,Father,Daughter,Father-Daughter
63,23,Male,Male,Yes,Married,15.3,Grandfather,Grandson,Grandfather-Grandson
74,24,Female,Female,Yes,Single,21.8,Grandmother,Granddaughter,Grandmother-Granddaughter
45,14,Male,Male,Yes,Married,3.8,Father,Son,Father-Son
53,47,Male,Female,Yes,Single,3.5,Brother,Sister,Brother-Sister
52,10,Female,Female,Yes,Married,21.8,Grandmother,Granddaughter,Grandmother-Granddaughter
36,0,Female,Female,Yes,Divorced,8.2,Mother,Daughter,Mother-Daughter
25,27,Female,Female,Yes,Single,3.1,Sister,Sister,Sister-Sister
32,10,Female,Female,Yes,Divorced,5.0,Mother,Daughter,Mother-Daughter
20,18,Male,Female,Yes,Married,9.6,Husband,Wife,Husband-Wife
74,1,Male,Male,Yes,Single,17.0,Grandfather,Grandson,Grandfather-Grandson
56,26,Female,Female,Yes,Married,2.7,Mother,Daughter,Mother-Daughter
64,1,Female,Male,Yes,Married,7.2,Grandmother,Grandson,Grandmother-Grandson
69,21,Male,Male,Yes,Married,1.4,Grandfather,Grandson,Grandfather-Grandson
64,36,Male,Male,Yes,Married,23.3,Father,Son,Father-Son
46,2,Male,Male,Yes,Single,18.7,Father,Son,Father-Son
30,4,Male,Female,Yes,Single,14.9,Father,Daughter,Father-Daughter
37,58,Male,Female,No,Single,28.1,Roommate,Roommate,Unrelated
71,29,Female,Female,Yes,Married,14.5,Grandmother,Granddaughter,Grandmother-Granddaughter
13,6,Male,Male,Yes,Single,12.6,Brother,Brother,Brother-Brother
57,35,Female,Male,No,Single,29.0,Roommate,Roommate,Unrelated
53,61,Male,Male,Yes,Single,21.8,Brother,Brother,Brother-Brother
61,20,Female,Male,Yes,Divorced,14.8,Grandmother,Grandson,Grandmother-Grandson
53,60,Male,Female,Yes,Single,17.2,Brother,Sister,Brother-Sister
23,26,Male,Female,Yes,Married,1.0,Husband,Wife,Husband-Wife
50,7,Female,Female,Yes,Widowed,7.0,Grandmother,Granddaughter,Grandmother-Granddaughter
60,22,Male,Female,Yes,Single,19.9,Father,Daughter,Father-Daughter
87,41,Female,Male,Yes,Single,7.9,Grandmother,Grandson,Grandmother-Grandson
38,14,Male,Male,Yes,Widowed,21.9,Father,Son,Father-Son
