order_id,date,item_name,item_type,item_price,quantity,transaction_amount,transaction_type,,received_by,time_of_sale,Day,,,,,,,,,,,,,,,,,,
202,21-09-2022,Aalopuri,Fastfood,20,9,180,Cash,Cash,Mr.,Afternoon,Wednesday,,,,,,,,,,,,,,,,,,
203,11-04-2022,Vadapav,Fastfood,20,6,120,Online,Online,Mrs.,Midnight,Monday,,,,,,,,,,,,,,,,,,
204,24-10-2022,Cold coffee,Beverages,40,7,280,Cash,Cash,Mrs.,Evening,Monday,,,,,,,,,,,,,,,,,,
205,17-10-2022,Vadapav,Fastfood,20,4,80,,Credit,Mr.,Afternoon,Monday,,,,,,,,,,,,,,,,,,
206,27-07-2022,Aalopuri,Fastfood,20,4,80,Cash,Cash,Mr.,Night,Wednesday,,,,,,,,,,,,,,,,,,
207,20-02-2023,Cold coffee,Beverages,40,8,320,Online,Online,Mrs.,Evening,Monday,,,,,,,,,,,,,,,,,,
208,26-08-2022,Cold coffee,Beverages,40,13,520,Cash,Cash,Mrs.,Midnight,Friday,,,,,,,,,,,,,,,,,,
209,04-12-2022,Aalopuri,Fastfood,20,2,40,Cash,Cash,Mr.,Night,Sunday,,,,,,,,,,,,,,,,,,
210,02-01-2023,Sugarcane juice,Beverages,25,15,375,,Credit,Mr.,Night,Monday,,,,,,,,,,,,,,,,,,
211,18-04-2022,Aalopuri,Fastfood,20,12,240,Cash,Cash,Mr.,Morning,Monday,,,,,,,,,,,,,,,,,,
212,05-05-2022,Cold coffee,Beverages,40,12,480,Online,Online,Mrs.,Morning,Thursday,,,,,,,,,,,,,,,,,,
213,29-09-2022,Vadapav,Fastfood,20,3,60,,Credit,Mrs.,Midnight,Thursday,,,,,,,,,,,,,,,,,,
214,03-12-2022,Sugarcane juice,Beverages,25,14,350,Online,Online,Mr.,Evening,Saturday,,,,,,,,,,,,,,,,,,
215,10-12-2022,Sugarcane juice,Beverages,25,7,175,,Credit,Mrs.,Morning,Saturday,,,,,,,,,,,,,,,,,,
216,07-03-2023,Panipuri,Fastfood,20,9,180,Cash,Cash,Mrs.,Afternoon,Tuesday,,,,,,,,,,,,,,,,,,
217,23-03-2023,Cold coffee,Beverages,40,10,400,Cash,Cash,Mr.,Morning,Thursday,,,,,,,,,,,,,,,,,,
218,23-12-2022,Cold coffee,Beverages,40,13,520,Online,Online,Mrs.,Midnight,Friday,,,,,,,,,,,,,,,,,,
219,01-10-2022,Aalopuri,Fastfood,20,9,180,Cash,Cash,Mrs.,Evening,Saturday,,,,,,,,,,,,,,,,,,
220,13-05-2022,Sugarcane juice,Beverages,25,1,25,Cash,Cash,Mr.,Afternoon,Friday,,,,,,,,,,,,,,,,,,
221,26-03-2023,Sandwich,Fastfood,60,1,60,Online,Online,Mr.,Evening,Sunday,,,,,,,,,,,,,,,,,,
222,11-09-2022,Sandwich,Fastfood,60,6,360,Cash,Cash,Mrs.,Morning,Sunday,,,,,,,,,,,,,,,,,,
223,21-09-2022,Panipuri,Fastfood,20,13,260,Online,Online,Mr.,Night,Wednesday,,,,,,,,,,,,,,,,,,
224,23-03-2023,Sugarcane juice,Beverages,25,14,350,Cash,Cash,Mr.,Afternoon,Thursday,,,,,,,,,,,,,,,,,,
225,16-03-2023,Frankie,Fastfood,50,11,550,Cash,Cash,Mrs.,Evening,Thursday,,,,,,,,,,,,,,,,,,
226,12-12-2022,Aalopuri,Fastfood,20,13,260,Online,Online,Mrs.,Afternoon,Monday,,,,,,,,,,,,,,,,,,
227,17-11-2022,Cold coffee,Beverages,40,5,200,Cash,Cash,Mrs.,Afternoon,Thursday,,,,,,,,,,,,,,,,,,
228,05-11-2022,Panipuri,Fastfood,20,8,160,Online,Online,Mr.,Night,Saturday,,,,,,,,,,,,,,,,,,
229,15-12-2022,Panipuri,Fastfood,20,7,140,,Credit,Mr.,Evening,Thursday,,,,,,,,,,,,,,,,,,
230,16-04-2022,Frankie,Fastfood,50,6,300,Online,Online,Mr.,Afternoon,Saturday,,,,,,,,,,,,,,,,,,
231,16-04-2022,Sugarcane juice,Beverages,25,3,75,,Credit,Mr.,Night,Saturday,,,,,,,,,,,,,,,,,,
232,23-04-2022,Vadapav,Fastfood,20,13,260,Cash,Cash,Mrs.,Night,Saturday,,,,,,,,,,,,,,,,,,
233,31-07-2022,Panipuri,Fastfood,20,5,100,Cash,Cash,Mr.,Morning,Sunday,,,,,,,,,,,,,,,,,,
234,27-07-2022,Panipuri,Fastfood,20,10,200,Cash,Cash,Mr.,Midnight,Wednesday,,,,,,,,,,,,,,,,,,
235,29-11-2022,Sandwich,Fastfood,60,10,600,Cash,Cash,Mrs.,Afternoon,Tuesday,,,,,,,,,,,,,,,,,,
236,26-06-2022,Vadapav,Fastfood,20,12,240,,Credit,Mrs.,Evening,Sunday,,,,,,,,,,,,,,,,,,
237,08-11-2022,Panipuri,Fastfood,20,13,260,Cash,Cash,Mrs.,Midnight,Tuesday,,,,,,,,,,,,,,,,,,
238,26-04-2022,Vadapav,Fastfood,20,13,260,Cash,Cash,Mr.,Morning,Tuesday,,,,,,,,,,,,,,,,,,
239,04-12-2022,Frankie,Fastfood,50,4,200,Online,Online,Mr.,Evening,Sunday,,,,,,,,,,,,,,,,,,
240,11-12-2022,Sandwich,Fastfood,60,10,600,Cash,Cash,Mrs.,Morning,Sunday,,,,,,,,,,,,,,,,,,
241,06-06-2022,Sugarcane juice,Beverages,25,2,50,Cash,Cash,Mr.,Afternoon,Monday,,,,,,,,,,,,,,,,,,
242,23-12-2022,Cold coffee,Beverages,40,4,160,Online,Online,Mrs.,Midnight,Friday,,,,,,,,,,,,,,,,,,
243,12-11-2022,Panipuri,Fastfood,20,5,100,Cash,Cash,Mrs.,Midnight,Saturday,,,,,,,,,,,,,,,,,,
244,22-11-2022,Sandwich,Fastfood,60,10,600,Online,Online,Mrs.,Midnight,Tuesday,,,,,,,,,,,,,,,,,,
245,03-10-2022,Vadapav,Fastfood,20,2,40,Cash,Cash,Mrs.,Morning,Monday,,,,,,,,,,,,,,,,,,
246,16-11-2022,Vadapav,Fastfood,20,10,200,Cash,Cash,Mr.,Afternoon,Wednesday,,,,,,,,,,,,,,,,,,
247,03-10-2022,Sugarcane juice,Beverages,25,6,150,,Credit,Mr.,Midnight,Monday,,,,,,,,,,,,,,,,,,
248,17-04-2022,Frankie,Fastfood,50,5,250,Online,Online,Mrs.,Midnight,Sunday,,,,,,,,,,,,,,,,,,
249,26-10-2022,Sugarcane juice,Beverages,25,3,75,Online,Online,Mrs.,Afternoon,Wednesday,,,,,,,,,,,,,,,,,,
250,15-11-2022,Sugarcane juice,Beverages,25,6,150,Online,Online,Mrs.,Midnight,Tuesday,,,,,,,,,,,,,,,,,,
251,21-12-2022,Cold coffee,Beverages,40,13,520,,Credit,Mrs.,Afternoon,Wednesday,,,,,,,,,,,,,,,,,,
252,26-03-2023,Vadapav,Fastfood,20,8,160,Online,Online,Mr.,Midnight,Sunday,,,,,,,,,,,,,,,,,,
253,18-06-2022,Sugarcane juice,Beverages,25,13,325,Online,Online,Mr.,Afternoon,Saturday,,,,,,,,,,,,,,,,,,
254,09-10-2022,Cold coffee,Beverages,40,12,480,,Credit,Mrs.,Afternoon,Sunday,,,,,,,,,,,,,,,,,,
255,30-04-2022,Vadapav,Fastfood,20,7,140,,Credit,Mrs.,Afternoon,Saturday,,,,,,,,,,,,,,,,,,
256,16-03-2023,Aalopuri,Fastfood,20,3,60,Online,Online,Mrs.,Midnight,Thursday,,,,,,,,,,,,,,,,,,
257,03-01-2023,Sandwich,Fastfood,60,10,600,Cash,Cash,Mrs.,Midnight,Tuesday,,,,,,,,,,,,,,,,,,
258,06-09-2022,Vadapav,Fastfood,20,14,280,Cash,Cash,Mr.,Midnight,Tuesday,,,,,,,,,,,,,,,,,,
259,18-11-2022,Sandwich,Fastfood,60,4,240,Online,Online,Mr.,Morning,Friday,,,,,,,,,,,,,,,,,,
260,10-09-2022,Sugarcane juice,Beverages,25,2,50,Online,Online,Mrs.,Night,Saturday,,,,,,,,,,,,,,,,,,
261,11-01-2023,Frankie,Fastfood,50,9,450,Cash,Cash,Mrs.,Midnight,Wednesday,,,,,,,,,,,,,,,,,,
262,05-03-2023,Vadapav,Fastfood,20,5,100,,Credit,Mrs.,Evening,Sunday,,,,,,,,,,,,,,,,,,
263,19-06-2022,Panipuri,Fastfood,20,2,40,Cash,Cash,Mr.,Evening,Sunday,,,,,,,,,,,,,,,,,,
264,18-07-2022,Sugarcane juice,Beverages,25,12,300,Online,Online,Mr.,Morning,Monday,,,,,,,,,,,,,,,,,,
265,15-08-2022,Vadapav,Fastfood,20,6,120,Cash,Cash,Mr.,Midnight,Monday,,,,,,,,,,,,,,,,,,
266,02-10-2022,Frankie,Fastfood,50,10,500,Online,Online,Mrs.,Night,Sunday,,,,,,,,,,,,,,,,,,
267,05-03-2023,Vadapav,Fastfood,20,1,20,Cash,Cash,Mr.,Morning,Sunday,,,,,,,,,,,,,,,,,,
268,05-02-2023,Cold coffee,Beverages,40,12,480,Cash,Cash,Mrs.,Midnight,Sunday,,,,,,,,,,,,,,,,,,
269,22-12-2022,Panipuri,Fastfood,20,2,40,,Credit,Mrs.,Midnight,Thursday,,,,,,,,,,,,,,,,,,
270,07-09-2022,Sandwich,Fastfood,60,13,780,Cash,Cash,Mr.,Evening,Wednesday,,,,,,,,,,,,,,,,,,
271,03-05-2022,Vadapav,Fastfood,20,13,260,Cash,Cash,Mr.,Evening,Tuesday,,,,,,,,,,,,,,,,,,
272,29-07-2022,Frankie,Fastfood,50,5,250,Online,Online,Mrs.,Night,Friday,,,,,,,,,,,,,,,,,,
273,15-08-2022,Panipuri,Fastfood,20,15,300,Cash,Cash,Mr.,Midnight,Monday,,,,,,,,,,,,,,,,,,
274,04-01-2023,Sugarcane juice,Beverages,25,10,250,Online,Online,Mr.,Night,Wednesday,,,,,,,,,,,,,,,,,,
275,04-02-2023,Vadapav,Fastfood,20,15,300,Online,Online,Mr.,Night,Saturday,,,,,,,,,,,,,,,,,,
276,30-09-2022,Sugarcane juice,Beverages,25,6,150,Cash,Cash,Mr.,Midnight,Friday,,,,,,,,,,,,,,,,,,
277,08-12-2022,Cold coffee,Beverages,40,13,520,Cash,Cash,Mrs.,Midnight,Thursday,,,,,,,,,,,,,,,,,,
278,19-06-2022,Frankie,Fastfood,50,6,300,Online,Online,Mrs.,Night,Sunday,,,,,,,,,,,,,,,,,,
279,14-09-2022,Vadapav,Fastfood,20,15,300,Cash,Cash,Mrs.,Afternoon,Wednesday,,,,,,,,,,,,,,,,,,
280,09-10-2022,Panipuri,Fastfood,20,14,280,Online,Online,Mrs.,Evening,Sunday,,,,,,,,,,,,,,,,,,
281,09-08-2022,Sandwich,Fastfood,60,3,180,Cash,Cash,Mrs.,Afternoon,Tuesday,,,,,,,,,,,,,,,,,,
282,16-05-2022,Vadapav,Fastfood,20,13,260,,Credit,Mrs.,Morning,Monday,,,,,,,,,,,,,,,,,,
283,02-07-2022,Panipuri,Fastfood,20,2,40,Cash,Cash,Mrs.,Midnight,Saturday,,,,,,,,,,,,,,,,,,
284,29-01-2023,Frankie,Fastfood,50,7,350,,Credit,Mr.,Afternoon,Sunday,,,,,,,,,,,,,,,,,,
285,28-06-2022,Aalopuri,Fastfood,20,3,60,,Credit,Mr.,Night,Tuesday,,,,,,,,,,,,,,,,,,
286,14-12-2022,Vadapav,Fastfood,20,6,120,,Credit,Mr.,Night,Wednesday,,,,,,,,,,,,,,,,,,
287,06-08-2022,Aalopuri,Fastfood,20,3,60,Cash,Cash,Mr.,Morning,Saturday,,,,,,,,,,,,,,,,,,
288,22-08-2022,Sandwich,Fastfood,60,7,420,Cash,Cash,Mr.,Night,Monday,,,,,,,,,,,,,,,,,,
289,28-11-2022,Aalopuri,Fastfood,20,7,140,Online,Online,Mrs.,Midnight,Monday,,,,,,,,,,,,,,,,,,
290,03-05-2022,Panipuri,Fastfood,20,7,140,Cash,Cash,Mrs.,Morning,Tuesday,,,,,,,,,,,,,,,,,,
291,27-01-2023,Frankie,Fastfood,50,8,400,Online,Online,Mrs.,Night,Friday,,,,,,,,,,,,,,,,,,
292,16-01-2023,Frankie,Fastfood,50,2,100,Cash,Cash,Mrs.,Midnight,Monday,,,,,,,,,,,,,,,,,,
293,21-04-2022,Panipuri,Fastfood,20,8,160,Online,Online,Mrs.,Morning,Thursday,,,,,,,,,,,,,,,,,,
294,23-09-2022,Aalopuri,Fastfood,20,1,20,Cash,Cash,Mrs.,Evening,Friday,,,,,,,,,,,,,,,,,,
295,21-07-2022,Sandwich,Fastfood,60,7,420,Cash,Cash,Mr.,Midnight,Thursday,,,,,,,,,,,,,,,,,,
296,06-02-2023,Panipuri,Fastfood,20,7,140,Cash,Cash,Mrs.,Afternoon,Monday,,,,,,,,,,,,,,,,,,
297,30-04-2022,Sandwich,Fastfood,60,10,600,Online,Online,Mr.,Evening,Saturday,,,,,,,,,,,,,,,,,,
298,19-07-2022,Sugarcane juice,Beverages,25,9,225,Cash,Cash,Mrs.,Afternoon,Tuesday,,,,,,,,,,,,,,,,,,
299,22-07-2022,Aalopuri,Fastfood,20,1,20,Online,Online,Mrs.,Evening,Friday,,,,,,,,,,,,,,,,,,
300,27-06-2022,Aalopuri,Fastfood,20,8,160,Cash,Cash,Mr.,Afternoon,Monday,,,,,,,,,,,,,,,,,,
301,28-01-2023,Panipuri,Fastfood,20,7,140,Cash,Cash,Mr.,Night,Saturday,,,,,,,,,,,,,,,,,,
302,21-03-2023,Aalopuri,Fastfood,20,14,280,Cash,Cash,Mr.,Night,Tuesday,,,,,,,,,,,,,,,,,,
303,02-07-2022,Sugarcane juice,Beverages,25,1,25,Cash,Cash,Mrs.,Midnight,Saturday,,,,,,,,,,,,,,,,,,
304,28-05-2022,Vadapav,Fastfood,20,15,300,Online,Online,Mr.,Morning,Saturday,,,,,,,,,,,,,,,,,,
305,05-03-2023,Panipuri,Fastfood,20,4,80,,Credit,Mrs.,Morning,Sunday,,,,,,,,,,,,,,,,,,
306,03-03-2023,Cold coffee,Beverages,40,8,320,Online,Online,Mrs.,Morning,Friday,,,,,,,,,,,,,,,,,,
307,13-02-2023,Vadapav,Fastfood,20,8,160,Cash,Cash,Mr.,Evening,Monday,,,,,,,,,,,,,,,,,,
308,17-12-2022,Sandwich,Fastfood,60,13,780,Online,Online,Mr.,Evening,Saturday,,,,,,,,,,,,,,,,,,
309,14-10-2022,Sandwich,Fastfood,60,8,480,Online,Online,Mr.,Evening,Friday,,,,,,,,,,,,,,,,,,
310,25-04-2022,Vadapav,Fastfood,20,4,80,Cash,Cash,Mr.,Afternoon,Monday,,,,,,,,,,,,,,,,,,
311,31-07-2022,Frankie,Fastfood,50,7,350,,Credit,Mrs.,Morning,Sunday,,,,,,,,,,,,,,,,,,
312,28-12-2022,Cold coffee,Beverages,40,1,40,Cash,Cash,Mrs.,Night,Wednesday,,,,,,,,,,,,,,,,,,
313,19-04-2022,Cold coffee,Beverages,40,1,40,Cash,Cash,Mr.,Midnight,Tuesday,,,,,,,,,,,,,,,,,,
314,27-02-2023,Frankie,Fastfood,50,8,400,Online,Online,Mrs.,Morning,Monday,,,,,,,,,,,,,,,,,,
315,20-02-2023,Cold coffee,Beverages,40,13,520,Online,Online,Mrs.,Afternoon,Monday,,,,,,,,,,,,,,,,,,
316,02-11-2022,Frankie,Fastfood,50,4,200,Online,Online,Mr.,Morning,Wednesday,,,,,,,,,,,,,,,,,,
317,10-03-2023,Aalopuri,Fastfood,20,12,240,Online,Online,Mrs.,Afternoon,Friday,,,,,,,,,,,,,,,,,,
318,21-12-2022,Aalopuri,Fastfood,20,10,200,Online,Online,Mrs.,Midnight,Wednesday,,,,,,,,,,,,,,,,,,
319,30-06-2022,Frankie,Fastfood,50,15,750,Cash,Cash,Mr.,Afternoon,Thursday,,,,,,,,,,,,,,,,,,
320,18-03-2023,Sugarcane juice,Beverages,25,7,175,Cash,Cash,Mrs.,Afternoon,Saturday,,,,,,,,,,,,,,,,,,
321,08-02-2023,Frankie,Fastfood,50,12,600,Cash,Cash,Mrs.,Evening,Wednesday,,,,,,,,,,,,,,,,,,
322,05-05-2022,Cold coffee,Beverages,40,11,440,Cash,Cash,Mr.,Morning,Thursday,,,,,,,,,,,,,,,,,,
323,29-12-2022,Aalopuri,Fastfood,20,4,80,Cash,Cash,Mr.,Morning,Thursday,,,,,,,,,,,,,,,,,,
324,18-07-2022,Sugarcane juice,Beverages,25,15,375,Online,Online,Mrs.,Night,Monday,,,,,,,,,,,,,,,,,,
325,02-03-2023,Aalopuri,Fastfood,20,12,240,,Credit,Mrs.,Afternoon,Thursday,,,,,,,,,,,,,,,,,,
326,03-05-2022,Sandwich,Fastfood,60,8,480,Cash,Cash,Mr.,Evening,Tuesday,,,,,,,,,,,,,,,,,,
327,29-11-2022,Frankie,Fastfood,50,15,750,Cash,Cash,Mrs.,Midnight,Tuesday,,,,,,,,,,,,,,,,,,
328,16-06-2022,Vadapav,Fastfood,20,3,60,Online,Online,Mr.,Evening,Thursday,,,,,,,,,,,,,,,,,,
329,10-01-2023,Panipuri,Fastfood,20,7,140,Online,Online,Mrs.,Afternoon,Tuesday,,,,,,,,,,,,,,,,,,
330,22-09-2022,Panipuri,Fastfood,20,8,160,,Credit,Mr.,Morning,Thursday,,,,,,,,,,,,,,,,,,
331,21-08-2022,Panipuri,Fastfood,20,4,80,Online,Online,Mrs.,Evening,Sunday,,,,,,,,,,,,,,,,,,
332,17-02-2023,Aalopuri,Fastfood,20,2,40,,Credit,Mrs.,Afternoon,Friday,,,,,,,,,,,,,,,,,,
333,30-10-2022,Sugarcane juice,Beverages,25,11,275,Cash,Cash,Mrs.,Afternoon,Sunday,,,,,,,,,,,,,,,,,,
334,04-04-2022,Cold coffee,Beverages,40,4,160,Cash,Cash,Mrs.,Evening,Monday,,,,,,,,,,,,,,,,,,
335,24-10-2022,Cold coffee,Beverages,40,11,440,Cash,Cash,Mr.,Night,Monday,,,,,,,,,,,,,,,,,,
336,03-09-2022,Sugarcane juice,Beverages,25,13,325,,Credit,Mrs.,Midnight,Saturday,,,,,,,,,,,,,,,,,,
337,15-10-2022,Aalopuri,Fastfood,20,14,280,Online,Online,Mrs.,Midnight,Saturday,,,,,,,,,,,,,,,,,,
338,06-05-2022,Sugarcane juice,Beverages,25,12,300,Cash,Cash,Mr.,Morning,Friday,,,,,,,,,,,,,,,,,,
339,16-02-2023,Sugarcane juice,Beverages,25,1,25,,Credit,Mrs.,Midnight,Thursday,,,,,,,,,,,,,,,,,,
340,02-06-2022,Cold coffee,Beverages,40,4,160,Cash,Cash,Mrs.,Evening,Thursday,,,,,,,,,,,,,,,,,,
341,19-03-2023,Frankie,Fastfood,50,9,450,Cash,Cash,Mrs.,Evening,Sunday,,,,,,,,,,,,,,,,,,
342,11-03-2023,Vadapav,Fastfood,20,7,140,Online,Online,Mr.,Afternoon,Saturday,,,,,,,,,,,,,,,,,,
343,18-01-2023,Sugarcane juice,Beverages,25,5,125,Cash,Cash,Mr.,Afternoon,Wednesday,,,,,,,,,,,,,,,,,,
344,13-05-2022,Cold coffee,Beverages,40,14,560,Cash,Cash,Mr.,Night,Friday,,,,,,,,,,,,,,,,,,
345,09-05-2022,Panipuri,Fastfood,20,14,280,Online,Online,Mrs.,Night,Monday,,,,,,,,,,,,,,,,,,
346,31-01-2023,Cold coffee,Beverages,40,12,480,Cash,Cash,Mr.,Morning,Tuesday,,,,,,,,,,,,,,,,,,
347,24-06-2022,Frankie,Fastfood,50,7,350,Cash,Cash,Mrs.,Afternoon,Friday,,,,,,,,,,,,,,,,,,
348,19-09-2022,Vadapav,Fastfood,20,1,20,Online,Online,Mrs.,Midnight,Monday,,,,,,,,,,,,,,,,,,
349,17-08-2022,Panipuri,Fastfood,20,5,100,Cash,Cash,Mrs.,Evening,Wednesday,,,,,,,,,,,,,,,,,,
350,21-09-2022,Cold coffee,Beverages,40,8,320,Online,Online,Mrs.,Morning,Wednesday,,,,,,,,,,,,,,,,,,
351,08-07-2022,Frankie,Fastfood,50,5,250,Online,Online,Mrs.,Night,Friday,,,,,,,,,,,,,,,,,,
352,25-05-2022,Frankie,Fastfood,50,11,550,Cash,Cash,Mrs.,Night,Wednesday,,,,,,,,,,,,,,,,,,
353,18-05-2022,Vadapav,Fastfood,20,4,80,Online,Online,Mrs.,Midnight,Wednesday,,,,,,,,,,,,,,,,,,
354,16-01-2023,Panipuri,Fastfood,20,14,280,Online,Online,Mr.,Midnight,Monday,,,,,,,,,,,,,,,,,,
355,15-03-2023,Cold coffee,Beverages,40,4,160,Online,Online,Mr.,Midnight,Wednesday,,,,,,,,,,,,,,,,,,
356,26-05-2022,Sugarcane juice,Beverages,25,14,350,Cash,Cash,Mrs.,Night,Thursday,,,,,,,,,,,,,,,,,,
357,21-09-2022,Sandwich,Fastfood,60,9,540,Online,Online,Mrs.,Afternoon,Wednesday,,,,,,,,,,,,,,,,,,
358,27-10-2022,Aalopuri,Fastfood,20,6,120,Cash,Cash,Mr.,Night,Thursday,,,,,,,,,,,,,,,,,,
359,27-08-2022,Aalopuri,Fastfood,20,13,260,Online,Online,Mrs.,Night,Saturday,,,,,,,,,,,,,,,,,,
360,06-10-2022,Cold coffee,Beverages,40,2,80,Online,Online,Mrs.,Midnight,Thursday,,,,,,,,,,,,,,,,,,
361,30-06-2022,Sandwich,Fastfood,60,15,900,,Credit,Mrs.,Night,Thursday,,,,,,,,,,,,,,,,,,
362,30-12-2022,Sugarcane juice,Beverages,25,2,50,Cash,Cash,Mr.,Morning,Friday,,,,,,,,,,,,,,,,,,
363,09-05-2022,Frankie,Fastfood,50,9,450,Online,Online,Mr.,Afternoon,Monday,,,,,,,,,,,,,,,,,,
364,11-10-2022,Cold coffee,Beverages,40,2,80,Online,Online,Mr.,Night,Tuesday,,,,,,,,,,,,,,,,,,
365,08-07-2022,Panipuri,Fastfood,20,10,200,Online,Online,Mr.,Night,Friday,,,,,,,,,,,,,,,,,,
366,30-11-2022,Sugarcane juice,Beverages,25,10,250,Online,Online,Mrs.,Afternoon,Wednesday,,,,,,,,,,,,,,,,,,
367,10-08-2022,Panipuri,Fastfood,20,6,120,,Credit,Mr.,Afternoon,Wednesday,,,,,,,,,,,,,,,,,,
368,31-08-2022,Cold coffee,Beverages,40,2,80,Cash,Cash,Mr.,Night,Wednesday,,,,,,,,,,,,,,,,,,
369,03-07-2022,Sandwich,Fastfood,60,2,120,Online,Online,Mrs.,Evening,Sunday,,,,,,,,,,,,,,,,,,
370,28-05-2022,Panipuri,Fastfood,20,5,100,,Credit,Mrs.,Midnight,Saturday,,,,,,,,,,,,,,,,,,
371,18-10-2022,Vadapav,Fastfood,20,5,100,Online,Online,Mrs.,Night,Tuesday,,,,,,,,,,,,,,,,,,
372,19-11-2022,Frankie,Fastfood,50,12,600,,Credit,Mr.,Morning,Saturday,,,,,,,,,,,,,,,,,,
373,08-05-2022,Sugarcane juice,Beverages,25,12,300,Cash,Cash,Mrs.,Midnight,Sunday,,,,,,,,,,,,,,,,,,
374,24-07-2022,Frankie,Fastfood,50,10,500,Online,Online,Mr.,Midnight,Sunday,,,,,,,,,,,,,,,,,,
375,17-11-2022,Panipuri,Fastfood,20,13,260,Cash,Cash,Mr.,Evening,Thursday,,,,,,,,,,,,,,,,,,
376,04-12-2022,Frankie,Fastfood,50,15,750,Cash,Cash,Mr.,Midnight,Sunday,,,,,,,,,,,,,,,,,,
377,20-05-2022,Sugarcane juice,Beverages,25,3,75,Online,Online,Mrs.,Evening,Friday,,,,,,,,,,,,,,,,,,
378,24-04-2022,Vadapav,Fastfood,20,2,40,Cash,Cash,Mrs.,Midnight,Sunday,,,,,,,,,,,,,,,,,,
379,15-02-2023,Cold coffee,Beverages,40,14,560,,Credit,Mr.,Afternoon,Wednesday,,,,,,,,,,,,,,,,,,
380,20-10-2022,Sandwich,Fastfood,60,5,300,Online,Online,Mrs.,Afternoon,Thursday,,,,,,,,,,,,,,,,,,
381,26-02-2023,Vadapav,Fastfood,20,1,20,Online,Online,Mr.,Morning,Sunday,,,,,,,,,,,,,,,,,,
382,16-08-2022,Cold coffee,Beverages,40,9,360,Cash,Cash,Mrs.,Night,Tuesday,,,,,,,,,,,,,,,,,,
383,06-05-2022,Aalopuri,Fastfood,20,7,140,Online,Online,Mrs.,Morning,Friday,,,,,,,,,,,,,,,,,,
384,22-10-2022,Sugarcane juice,Beverages,25,1,25,Online,Online,Mr.,Afternoon,Saturday,,,,,,,,,,,,,,,,,,
385,25-04-2022,Vadapav,Fastfood,20,5,100,Cash,Cash,Mr.,Morning,Monday,,,,,,,,,,,,,,,,,,
386,23-11-2022,Frankie,Fastfood,50,5,250,Online,Online,Mr.,Midnight,Wednesday,,,,,,,,,,,,,,,,,,
387,17-03-2023,Sugarcane juice,Beverages,25,14,350,Cash,Cash,Mrs.,Midnight,Friday,,,,,,,,,,,,,,,,,,
388,09-10-2022,Sandwich,Fastfood,60,14,840,Cash,Cash,Mr.,Evening,Sunday,,,,,,,,,,,,,,,,,,
389,22-12-2022,Sandwich,Fastfood,60,12,720,Cash,Cash,Mrs.,Evening,Thursday,,,,,,,,,,,,,,,,,,
390,18-06-2022,Sugarcane juice,Beverages,25,5,125,,Credit,Mr.,Midnight,Saturday,,,,,,,,,,,,,,,,,,
391,21-04-2022,Aalopuri,Fastfood,20,1,20,Online,Online,Mrs.,Night,Thursday,,,,,,,,,,,,,,,,,,
392,18-09-2022,Aalopuri,Fastfood,20,15,300,Online,Online,Mr.,Night,Sunday,,,,,,,,,,,,,,,,,,
393,02-07-2022,Sugarcane juice,Beverages,25,10,250,Online,Online,Mrs.,Evening,Saturday,,,,,,,,,,,,,,,,,,
394,03-04-2022,Sandwich,Fastfood,60,1,60,Cash,Cash,Mrs.,Morning,Sunday,,,,,,,,,,,,,,,,,,
395,31-01-2023,Sandwich,Fastfood,60,3,180,Cash,Cash,Mrs.,Evening,Tuesday,,,,,,,,,,,,,,,,,,
396,31-10-2022,Frankie,Fastfood,50,15,750,Online,Online,Mr.,Morning,Monday,,,,,,,,,,,,,,,,,,
397,06-07-2022,Aalopuri,Fastfood,20,2,40,Online,Online,Mrs.,Afternoon,Wednesday,,,,,,,,,,,,,,,,,,
398,13-01-2023,Panipuri,Fastfood,20,6,120,Online,Online,Mr.,Evening,Friday,,,,,,,,,,,,,,,,,,
399,24-06-2022,Panipuri,Fastfood,20,9,180,Cash,Cash,Mrs.,Evening,Friday,,,,,,,,,,,,,,,,,,
400,04-03-2023,Cold coffee,Beverages,40,15,600,Cash,Cash,Mrs.,Morning,Saturday,,,,,,,,,,,,,,,,,,
401,11-10-2022,Sugarcane juice,Beverages,25,8,200,Online,Online,Mrs.,Midnight,Tuesday,,,,,,,,,,,,,,,,,,
402,19-03-2023,Frankie,Fastfood,50,7,350,Cash,Cash,Mr.,Night,Sunday,,,,,,,,,,,,,,,,,,
403,25-09-2022,Cold coffee,Beverages,40,3,120,Online,Online,Mrs.,Midnight,Sunday,,,,,,,,,,,,,,,,,,
404,26-11-2022,Frankie,Fastfood,50,7,350,Cash,Cash,Mrs.,Midnight,Saturday,,,,,,,,,,,,,,,,,,
405,13-12-2022,Sugarcane juice,Beverages,25,10,250,Cash,Cash,Mr.,Night,Tuesday,,,,,,,,,,,,,,,,,,
406,13-10-2022,Cold coffee,Beverages,40,4,160,Online,Online,Mrs.,Afternoon,Thursday,,,,,,,,,,,,,,,,,,
407,02-01-2023,Sugarcane juice,Beverages,25,2,50,Cash,Cash,Mr.,Evening,Monday,,,,,,,,,,,,,,,,,,
408,05-10-2022,Vadapav,Fastfood,20,4,80,Online,Online,Mr.,Midnight,Wednesday,,,,,,,,,,,,,,,,,,
